x,vx,y,vy,z,vz
1217.7388,12.0095,-207.5365,-45.5875,2259.1502,116.3627
1218.1504,12.6874,-209.0540,-45.4642,2263.0270,116.2450
1218.5842,13.3375,-210.5675,-45.3431,2266.8999,116.1269
1219.0392,13.9566,-212.0770,-45.2260,2270.7688,116.0099
1219.5143,14.5428,-213.5826,-45.1145,2274.6339,115.8954
1220.0084,15.0944,-215.0846,-45.0104,2278.4952,115.7841
1220.5202,15.6095,-216.5833,-44.9159,2282.3529,115.6767
1221.0486,16.0873,-218.0791,-44.8322,2286.2071,115.5740
1221.5923,16.5275,-219.5723,-44.7601,2290.0579,115.4762
1222.1501,16.9302,-221.0634,-44.7003,2293.9055,115.3833
1222.7206,17.2963,-222.5526,-44.6536,2297.7501,115.2950
1223.3028,17.6265,-224.0405,-44.6208,2301.5918,115.2104
1223.8954,17.9224,-225.5275,-44.6016,2305.4308,115.1293
1224.4973,18.1854,-227.0141,-44.5955,2309.2671,115.0514
1225.1074,18.4173,-228.5007,-44.6023,2313.1009,114.9760
1225.7247,18.6198,-229.9877,-44.6212,2316.9322,114.9027
1226.3484,18.7949,-231.4756,-44.6518,2320.7611,114.8309
1226.9775,18.9448,-232.9647,-44.6930,2324.5876,114.7600
1227.6110,19.0610,-234.4553,-44.7500,2328.4118,114.6896
1228.2477,19.1378,-235.9482,-44.8244,2332.2336,114.6162
1228.8866,19.1926,-237.4436,-44.9047,2336.0529,114.5375
