x,vx,y,vy,z,vz
1815.5925,140.7943,861.5137,85.9737,1182.5916,27.7520
1820.2868,140.8632,864.3803,86.0215,1183.5114,27.4386
1824.9833,140.9313,867.2485,86.0688,1184.4208,27.1252
1829.6822,140.9984,870.1183,86.1168,1185.3197,26.8072
1834.3832,141.0636,872.9896,86.1653,1186.2079,26.4839
1839.0864,141.1274,875.8626,86.2114,1187.0853,26.1646
1843.7917,141.1902,878.7370,86.2528,1187.9523,25.8576
1848.4991,141.2522,881.6127,86.2877,1188.8094,25.5693
1853.2085,141.3139,884.4894,86.3146,1189.6572,25.3042
1857.9200,141.3755,887.3669,86.3328,1190.4966,25.0653
1862.6335,141.4370,890.2448,86.3416,1191.3286,24.8548
1867.3491,141.4986,893.1229,86.3406,1192.1539,24.6731
1872.0668,141.5599,896.0008,86.3298,1192.9737,24.5200
1876.7864,141.6210,898.8781,86.3096,1193.7889,24.3944
1881.5082,141.6815,901.7546,86.2802,1194.6003,24.2947
1886.2319,141.7412,904.6300,86.2420,1195.4088,24.2188
1890.9575,141.7998,907.5040,86.1958,1196.2151,24.1643
1895.6852,141.8572,910.3764,86.1423,1197.0200,24.1285
1900.4147,141.9130,913.2468,86.0821,1197.8239,24.1090
1905.1460,141.9671,916.1151,86.0161,1198.6274,24.1033
1909.8791,142.0194,918.9811,85.9448,1199.4309,24.1090
1914.6140,142.0697,921.8447,85.8691,1200.2348,24.1236
1919.3504,142.1179,924.7057,85.7898,1201.0392,24.1450
1924.0885,142.1641,927.5640,85.7074,1201.8445,24.1712
1928.8280,142.2082,930.4195,85.6226,1202.6507,24.2007
