x,vx,y,vy,z,vz
1585.0807,138.6410,-472.5505,-94.3135,461.1675,0.2573
1589.7010,138.5720,-475.6959,-94.4103,461.1757,0.2380
1594.3189,138.5036,-478.8445,-94.5058,461.1833,0.2189
1598.9345,138.4358,-481.9962,-94.5999,461.1903,0.1998
1603.5479,138.3686,-485.1511,-94.6927,461.1967,0.1809
1608.1591,138.3020,-488.3091,-94.7843,461.2024,0.1622
1612.7681,138.2361,-491.4701,-94.8746,461.2075,0.1437
1617.3749,138.1709,-494.6340,-94.9638,461.2120,0.1254
1621.9795,138.1063,-497.8010,-95.0517,461.2158,0.1073
1626.5820,138.0424,-500.9708,-95.1386,461.2191,0.0896
1631.1823,137.9792,-504.1435,-95.2243,461.2218,0.0721
1635.7806,137.9167,-507.3191,-95.3090,461.2239,0.0550
1640.3768,137.8549,-510.4975,-95.3926,461.2255,0.0382
1644.9709,137.7939,-513.6786,-95.4752,461.2265,0.0218
1649.5630,137.7336,-516.8625,-95.5569,461.2269,0.0058
1654.1532,137.6740,-520.0490,-95.6375,461.2269,-0.0099
1658.7413,137.6152,-523.2383,-95.7172,461.2263,-0.0251
1663.3275,137.5571,-526.4302,-95.7960,461.2252,-0.0400
1667.9118,137.4998,-529.6247,-95.8738,461.2236,-0.0544
1672.4942,137.4433,-532.8218,-95.9508,461.2216,-0.0685
1677.0747,137.3876,-536.0214,-96.0269,461.2191,-0.0821
1681.6534,137.3327,-539.2235,-96.1020,461.2161,-0.0954
1686.2302,137.2785,-542.4282,-96.1763,461.2127,-0.1082
1690.8053,137.2252,-545.6353,-96.2498,461.2089,-0.1207
1695.3786,137.1726,-548.8448,-96.3224,461.2047,-0.1328
1699.9501,137.1209,-552.0568,-96.3942,461.2000,-0.1445
1704.5200,137.0699,-555.2711,-96.4651,461.1950,-0.1559
1709.0881,137.0197,-558.4878,-96.5352,461.1897,-0.1669
1713.6546,136.9704,-561.7068,-96.6045,461.1839,-0.1776
1718.2195,136.9218,-564.9281,-96.6730,461.1778,-0.1880
1722.7828,136.8739,-568.1516,-96.7406,461.1714,-0.1980
1727.3444,136.8269,-571.3774,-96.8074,461.1646,-0.2078
1731.9046,136.7806,-574.6054,-96.8734,461.1575,-0.2172
1736.4631,136.7351,-577.8356,-96.9386,461.1501,-0.2262
1741.0202,136.6903,-581.0680,-97.0029,461.1425,-0.2350
1745.5758,136.6462,-584.3025,-97.0664,461.1345,-0.2436
1750.1300,136.6030,-587.5391,-97.1291,461.1262,-0.2522
1754.6827,136.5604,-590.7777,-97.1908,461.1177,-0.2609
1759.2340,136.5187,-594.0185,-97.2517,461.1088,-0.2699
1763.7840,136.4777,-597.2612,-97.3116,461.0997,-0.2790
1768.3325,136.4374,-600.5059,-97.3706,461.0902,-0.2884
1772.8798,136.3979,-603.7525,-97.4287,461.0804,-0.2981
1777.4258,136.3591,-607.0011,-97.4858,461.0703,-0.3081
1781.9704,136.3209,-610.2516,-97.5421,461.0599,-0.3183
1786.5138,136.2835,-613.5039,-97.5975,461.0491,-0.3287
1791.0560,136.2466,-616.7581,-97.6520,461.0380,-0.3394
1795.5969,136.2105,-620.0140,-97.7055,461.0265,-0.3502
1800.1367,136.1749,-623.2718,-97.7583,461.0146,-0.3611
1804.6753,136.1399,-626.5312,-97.8101,461.0024,-0.3722
1809.2127,136.1055,-629.7924,-97.8611,460.9898,-0.3833
1813.7490,136.0716,-633.0553,-97.9112,460.9769,-0.3943
1818.2841,136.0383,-636.3198,-97.9606,460.9635,-0.4054
1822.8182,136.0055,-639.5860,-98.0090,460.9498,-0.4164
1827.3512,135.9731,-642.8538,-98.0567,460.9358,-0.4273
1831.8831,135.9413,-646.1231,-98.1035,460.9214,-0.4380
1836.4139,135.9099,-649.3940,-98.1495,460.9066,-0.4486
1840.9437,135.8790,-652.6664,-98.1947,460.8915,-0.4590
1845.4725,135.8486,-655.9403,-98.2392,460.8760,-0.4691
1850.0003,135.8185,-659.2157,-98.2828,460.8602,-0.4791
1854.5271,135.7889,-662.4925,-98.3256,460.8440,-0.4888
1859.0529,135.7597,-665.7707,-98.3677,460.8276,-0.4982
1863.5778,135.7310,-669.0503,-98.4089,460.8108,-0.5074
1868.1017,135.7026,-672.3313,-98.4494,460.7938,-0.5163
1872.6246,135.6746,-675.6136,-98.4892,460.7764,-0.5249
1877.1466,135.6470,-678.8972,-98.5282,460.7588,-0.5332
1881.6677,135.6198,-682.1821,-98.5664,460.7409,-0.5412
1886.1880,135.5929,-685.4683,-98.6038,460.7227,-0.5490
1890.7073,135.5665,-688.7557,-98.6406,460.7043,-0.5565
1895.2257,135.5404,-692.0443,-98.6766,460.6856,-0.5637
1899.7433,135.5148,-695.3341,-98.7118,460.6667,-0.5706
1904.2600,135.4895,-698.6251,-98.7464,460.6476,-0.5772
1908.7759,135.4646,-701.9172,-98.7802,460.6282,-0.5836
1913.2910,135.4400,-705.2104,-98.8133,460.6087,-0.5898
1917.8053,135.4159,-708.5048,-98.8457,460.5889,-0.5957
1922.3188,135.3921,-711.8002,-98.8774,460.5690,-0.6013
1926.8314,135.3688,-715.0966,-98.9084,460.5488,-0.6068
1931.3433,135.3458,-718.3940,-98.9388,460.5285,-0.6120
1935.8545,135.3232,-721.6925,-98.9684,460.5080,-0.6170
1940.3649,135.3010,-724.9919,-98.9974,460.4874,-0.6217
1944.8746,135.2793,-728.2923,-99.0258,460.4666,-0.6263
1949.3835,135.2579,-731.5936,-99.0535,460.4456,-0.6306
1953.8918,135.2369,-734.8959,-99.0806,460.4245,-0.6348
1958.3993,135.2164,-738.1990,-99.1070,460.4033,-0.6388
1962.9062,135.1962,-741.5030,-99.1329,460.3820,-0.6426
1967.4124,135.1765,-744.8079,-99.1581,460.3605,-0.6462
1971.9180,135.1572,-748.1135,-99.1827,460.3389,-0.6496
1976.4229,135.1383,-751.4200,-99.2068,460.3172,-0.6529
1980.9272,135.1198,-754.7273,-99.2302,460.2954,-0.6559
1985.4309,135.1018,-758.0354,-99.2531,460.2734,-0.6589
1989.9340,135.0842,-761.3442,-99.2755,460.2514,-0.6616
1994.4365,135.0670,-764.6537,-99.2972,460.2293,-0.6642
1998.9385,135.0503,-767.9640,-99.3185,460.2072,-0.6666
2003.4399,135.0340,-771.2750,-99.3392,460.1849,-0.6689
2007.9407,135.0181,-774.5866,-99.3594,460.1626,-0.6710
2012.4411,135.0026,-777.8989,-99.3790,460.1402,-0.6730
2016.9409,134.9876,-781.2119,-99.3981,460.1177,-0.6748
2021.4402,134.9730,-784.5254,-99.4168,460.0952,-0.6764
2025.9391,134.9589,-787.8396,-99.4349,460.0726,-0.6779
2030.4375,134.9452,-791.1544,-99.4525,460.0500,-0.6793
2034.9355,134.9319,-794.4698,-99.4697,460.0273,-0.6805
2039.4330,134.9190,-797.7857,-99.4863,460.0046,-0.6816
2043.9301,134.9066,-801.1022,-99.5025,459.9819,-0.6825
2048.4267,134.8945,-804.4192,-99.5182,459.9591,-0.6833
2052.9230,134.8829,-807.7368,-99.5335,459.9363,-0.6840
2057.4189,134.8718,-811.0548,-99.5483,459.9135,-0.6845
2061.9145,134.8610,-814.3733,-99.5626,459.8907,-0.6849
2066.4097,134.8506,-817.6923,-99.5765,459.8679,-0.6851
2070.9045,134.8406,-821.0117,-99.5899,459.8450,-0.6852
2075.3991,134.8311,-824.3316,-99.6029,459.8222,-0.6852
2079.8933,134.8219,-827.6519,-99.6154,459.7994,-0.6851
2084.3872,134.8131,-830.9726,-99.6275,459.7765,-0.6848
2088.8808,134.8047,-834.2937,-99.6391,459.7537,-0.6844
2093.3742,134.7966,-837.6152,-99.6504,459.7309,-0.6839
2097.8673,134.7890,-840.9371,-99.6611,459.7081,-0.6833
2102.3601,134.7817,-844.2593,-99.6715,459.6853,-0.6826
2106.8527,134.7747,-847.5819,-99.6814,459.6626,-0.6817
2111.3451,134.7681,-850.9047,-99.6910,459.6399,-0.6808
2115.8373,134.7619,-854.2279,-99.7000,459.6172,-0.6797
